TRUE	3952	2800.04
TRUE	3840.36	2900.03
TRUE	3799.97	2928.26
TRUE	3690.25	2900.03
TRUE	3599.97	2879.57
TRUE	3528.54	2800.04
TRUE	3415.03	2700.04
TRUE	3399.98	2689.03
TRUE	3339.57	2700.04
TRUE	3199.99	2713.09
TRUE	3169.28	2700.04
TRUE	2999.98	2638.83
TRUE	2956.44	2600.03
TRUE	2799.98	2519.21
TRUE	2784.81	2500.04
TRUE	2606.94	2400.03
TRUE	2599.99	2396.58
TRUE	2572.28	2300.03
TRUE	2460.11	2200.03
TRUE	2399.98	2153.73
TRUE	2355.65	2100.03
TRUE	2199.99	2021.69
TRUE	2171.48	2000.02
TRUE	2092.07	1900.03
TRUE	1999.99	1850.52
TRUE	1955.17	1800.03
TRUE	1804.63	1700.02
TRUE	1799.98	1697.5
TRUE	1746.67	1600.01
TRUE	1599.99	1515.71
TRUE	1568.61	1500.02
TRUE	1540.8	1400.02
TRUE	1399.99	1323.9
TRUE	1352.21	1300.01
TRUE	1337.69	1200.02
TRUE	1200	1126.11
TRUE	1147.8	1100.01
TRUE	1136.62	1000.01
TRUE	999.991	928.667
TRUE	916.883	900.015
TRUE	906.329	800.009
TRUE	709.995	731.158
TRUE	709.804	700.003
TRUE	709.79	600.007
TRUE	709.79	500.007
TRUE	709.79	400.005
TRUE	709.79	300.003
TRUE	709.79	200.002
TRUE	709.819	55.0003
TRUE	709.995	54.9133
TRUE	999.991	54.9513
TRUE	1134.09	55.0003
TRUE	1200	82.7188
TRUE	1399.99	131.893
TRUE	1599.99	165.801
TRUE	1799.98	189.626
TRUE	1999.99	194.084
TRUE	2199.99	199.368
TRUE	2252.02	200.002
TRUE	2399.98	252.372
TRUE	2599.99	228.867
TRUE	2799.98	273.476
TRUE	2999.98	296.056
TRUE	3046.97	300.003
TRUE	3199.99	356.009
TRUE	3350.49	400.005
TRUE	3399.98	427.488
TRUE	3599.97	439.928
TRUE	3799.97	490.152
TRUE	3823.96	500.007
TRUE	3978	600.007
TRUE	3999.98	617.317
TRUE	4108.97	700.003
TRUE	4199.97	775.245
TRUE	4250.27	800.009
TRUE	4378.87	900.015
TRUE	4399.96	921.895
TRUE	4419.44	1000.01
TRUE	4443.81	1100.01
TRUE	4456.48	1200.02
TRUE	4464.3	1300.01
TRUE	4471.74	1400.02
TRUE	4468.05	1500.02
TRUE	4471.99	1600.01
TRUE	4467.82	1700.02
TRUE	4456.89	1800.03
TRUE	4451.57	1900.03
TRUE	4445.16	2000.02
TRUE	4431.98	2100.03
TRUE	4419.51	2200.03
TRUE	4401.8	2300.03
TRUE	4399.96	2312.02
TRUE	4326.1	2400.03
TRUE	4199.97	2485.54
TRUE	4189.9	2500.04
TRUE	4124.83	2600.03
TRUE	4052.47	2700.04
TRUE	3999.98	2748.88
TRUE	3952	2800.04
