200	100	2.041E+03	2.346E+00
400	100	1.947E+02	2.4E-01
400	200	1.428E+02	1.868E-01
400	300	6.158E+01	6.085E-02
600	100	4.597E+01	6.183E-02
600	200	4.029E+01	4.068E-02
600	400	1.983E+01	2.177E-02
600	500	7.149E+00	8.648E-03
800	100	1.551E+01	1.839E-02
800	200	1.446E+01	1.69E-02
800	400	1.041E+01	1.045E-02
800	600	4.351E+00	5.513E-03
800	700	1.473E+00	1.783E-03
1000	100	6.383E+00	7.414E-03
1000	200	6.083E+00	6.462E-03
1000	400	5.023E+00	5.481E-03
1000	600	3.323E+00	3.755E-03
1000	800	1.256E+00	1.581E-03
1000	900	4.125E-01	4.519E-04
1200	100	2.97E+00	3.94E-03
1200	200	2.867E+00	3.207E-03
1200	400	2.511E+00	3.074E-03
1200	600	1.947E+00	2.028E-03
1200	800	1.207E+00	1.419E-03
1200	1000	4.296E-01	4.523E-04
1200	1100	1.406E-01	1.546E-04
1400	100	1.502E+00	1.696E-03
1400	200	1.458E+00	1.784E-03
1400	400	1.321E+00	1.382E-03
1400	600	1.111E+00	1.212E-03
1400	800	8.25E-01	9.092E-04
1400	1000	4.887E-01	4.819E-04
1400	1200	1.66E-01	1.691E-04
1400	1300	5.455E-02	5.583E-05
1600	100	8.063E-01	1.08E-03
1600	200	7.864E-01	9.473E-04
1600	400	7.256E-01	7.138E-04
1600	600	6.375E-01	7.697E-04
1600	800	5.188E-01	5.705E-04
1600	1000	3.731E-01	3.842E-04
1600	1200	2.129E-01	2.377E-04
1600	1400	7.031E-02	7.503E-05
1600	1500	2.318E-02	2.436E-05
1800	100	4.53E-01	5.676E-04
1800	200	4.422E-01	5.438E-04
1800	400	4.125E-01	4.42E-04
1800	600	3.718E-01	4.269E-04
1800	800	3.192E-01	3.463E-04
1800	1000	2.528E-01	2.504E-04
1800	1200	1.771E-01	1.865E-04
1800	1400	9.803E-02	9.735E-05
1800	1600	3.186E-02	3.354E-05
1800	1700	1.069E-02	1.081E-05
2000	100	2.622E-01	3.549E-04
2000	200	2.565E-01	2.892E-04
2000	400	2.415E-01	2.789E-04
2000	600	2.217E-01	2.299E-04
2000	800	1.962E-01	2.057E-04
2000	1000	1.649E-01	1.688E-04
2000	1200	1.281E-01	1.403E-04
2000	1400	8.748E-02	1.093E-04
2000	1600	4.72E-02	4.67E-05
2000	1800	1.517E-02	1.492E-05
2000	1900	5.147E-03	5.248E-06
2200	100	1.563E-01	1.674E-04
2200	200	1.526E-01	1.766E-04
2200	400	1.443E-01	1.654E-04
2200	600	1.34E-01	1.478E-04
2200	800	1.211E-01	1.416E-04
2200	1000	1.055E-01	1.095E-04
2200	1200	8.713E-02	9.628E-05
2200	1400	6.64E-02	7.773E-05
2200	1600	4.463E-02	4.84E-05
2200	1800	2.379E-02	2.48E-05
2200	2000	7.548E-03	7.439E-06
2200	2100	2.602E-03	2.498E-06
2400	100	9.505E-02	1.127E-04
2400	200	9.283E-02	1.097E-04
2400	400	8.794E-02	9.564E-05
2400	600	8.234E-02	9.587E-05
2400	800	7.538E-02	8.756E-05
2400	1000	6.736E-02	7.019E-05
2400	1200	5.781E-02	5.909E-05
2400	1400	4.709E-02	4.789E-05
2400	1600	3.533E-02	3.503E-05
2400	1800	2.333E-02	2.242E-05
2400	2000	1.227E-02	1.365E-05
2400	2200	3.845E-03	3.748E-06
2400	2300	1.352E-03	1.315E-06
2600	100	5.897E-02	6.764E-05
2600	200	5.743E-02	6.807E-05
2600	400	5.436E-02	6.319E-05
2600	600	5.118E-02	5.362E-05
2600	800	4.73E-02	6.17E-05
2600	1000	4.291E-02	4.713E-05
2600	1200	3.784E-02	4.409E-05
2600	1400	3.211E-02	3.333E-05
2600	1600	2.58E-02	2.518E-05
2600	1800	1.914E-02	1.968E-05
2600	2000	1.247E-02	1.299E-05
2600	2200	6.481E-03	6.497E-06
2600	2400	2.025E-03	1.828E-06
2600	2500	7.201E-04	7.203E-07
2800	100	3.711E-02	4.504E-05
2800	200	3.609E-02	4.32E-05
2800	400	3.408E-02	4.134E-05
2800	600	3.214E-02	3.32E-05
2800	800	2.99E-02	3.624E-05
2800	1000	2.748E-02	3.423E-05
2800	1200	2.468E-02	2.847E-05
2800	1400	2.155E-02	2.294E-05
2800	1600	1.806E-02	1.892E-05
2800	1800	1.431E-02	1.517E-05
2800	2000	1.053E-02	1.159E-05
2800	2200	6.788E-03	7.054E-06
2800	2400	3.482E-03	3.796E-06
2800	2600	1.081E-03	1.235E-06
2800	2700	3.928E-04	4.358E-07
3000	100	2.376E-02	3.079E-05
3000	200	2.301E-02	2.9E-05
3000	400	2.166E-02	2.601E-05
3000	600	2.042E-02	2.362E-05
3000	800	1.905E-02	2.292E-05
3000	1000	1.762E-02	2.102E-05
3000	1200	1.605E-02	1.796E-05
3000	1400	1.427E-02	1.619E-05
3000	1600	1.236E-02	1.354E-05
3000	1800	1.025E-02	1.086E-05
3000	2000	8.069E-03	8.914E-06
3000	2200	5.861E-03	6.037E-06
3000	2400	3.746E-03	4.01E-06
3000	2600	1.903E-03	2.117E-06
3000	2800	5.913E-04	6.196E-07
3000	2900	2.188E-04	2.306E-07
3200	100	1.545E-02	1.858E-05
3200	200	1.486E-02	1.66E-05
3200	400	1.391E-02	1.693E-05
3200	600	1.308E-02	1.672E-05
3200	800	1.223E-02	1.472E-05
3200	1000	1.134E-02	1.396E-05
3200	1200	1.044E-02	1.194E-05
3200	1400	9.417E-03	1.139E-05
